2014,4択,"A、B、Cなどのアルファベットを用いて日本語の音を表記したものを何という？
(1) 仮名 (2) 漢字 (3) 数字 (4) ローマ字",(4) ローマ字,,,タグ
2014,ノーマル,演劇などで終了後演者が舞台上で観客に挨拶することを、英語で何コールというでしょう？,カーテンコール
2014,ノーマル,稲荷神社では代わりに/狐が置かれていることもある、神社の入口や拝殿の前などに一対で向き合う形で置かれる獣の像を何というでしょう？,狛犬(こまいぬ),
2014,ノーマル,南アジアのネパール、スリランカ、パキスタン、インドに共通する通貨単位の名前は何でしょう？,ルピー
2014,ノーマル,昨年(2013年)7月に4000回目となるソロコンサートを日本武道館で開催した、『関白宣言』などで知られるフォーク歌手は誰でしょう？,さだまさし
2014,ノーマル,元々は「仏教における大地の奥底」を表していた、現在では「決して、絶対に」という意味で使われる言葉は何でしょう？,金輪際(こんりんざい)
2014,ノーマル,エクスプローラー1号の観測結果から発見された地球を取り巻く放射線帯を、発見したアメリカの物理学者から何というでしょう？,ヴァン・アレン帯(ゔぁん・あれんおび)
2014,ノーマル,英語で、century(センチュリー)は100年間のことを指しますが、decade(ディケイド)は何年間のことを指すでしょう？,10年間(10ねんかん)
2014,ノーマル,塩引きにされ縄で吊るされた魚の姿を写実的に描いた、明治の洋画家・高橋由一(たかはし・ゆいち)の代表作は何でしょう？,『鮭』(さけ)
2014,ノーマル,政令指定都市で、奥山恵美子(おくやま・えみこ)が市長を務めているのは仙台市ですが、林文子(はやし・ふみこ)が市長を務めているのは何市でしょう？,横浜(よこはま)
2014,ノーマル,姉はヴィーナス、妹はセリーナである、テニスで活躍するアメリカ人姉妹のファミリーネームは何でしょう？,ウィリアムズ
2014,ノーマル,1185年の「屋島の戦い」において、平家の船に掲げられた扇の的を射落とした伝説で知られる源氏方の武将は誰でしょう？,那須与一(なすの・よいち)
2014,ノーマル,カジノのルーレットで、ディーラーがプレイヤーにこれ以上チップを置けないことを伝えるために発する言葉は何でしょう？,no more bet
2014,ノーマル,小説『カルメン』の作者メリメと、オペラ『カルメン』の作曲者ビゼーはともにどこの国の人でしょう？,フランス
2014,ノーマル,「どうやっても思うようには扱えない」という意味のことわざを、調理方法をあらわす言葉を用いて何というでしょう？,煮ても焼いても食えない(にてもやいてもくえない)
2014,ノーマル,88星座のなかで、1等星を2つ持つものは、オリオン座、ケ/ンタウルス座と何座でしょう？,みなみじゅうじ座(みなみじゅうじ),"アクルックスとミモザ(べクルックス)。
南十字座のラテン語名がCrux　＋　α　でAcrux

アクルックスは全天21個の一等星の中で最も南に位置、多重連星。"
2014,ノーマル,夫のとんぼとの間にトトとニニという双子の子供をもうけている、角野栄子(かどの・えいこ)の児童文学『魔女の宅急便』シリーズの主人公は誰でしょう？,キキ
2014,ノーマル,数学の行列の中でも、行の数と列の数が等しいものを特に何行列というでしょう？,正方行列(せいほうぎょうれつ)
2014,ノーマル,青いスーツに赤いネクタイ姿で漫才をする、橋本直(はしもと・すなお)と鰻和弘(うなぎ・かずひろ)からなるお笑いコンビは何でしょう？,銀シャリ(ぎんしゃり)
2014,ノーマル,フランス語で「作品の他に」といった意味の言葉に由来する、西洋料理で出される前菜のことを何というでしょう？,オードブル
2014,ノーマル,相続税や固定資産税を計算する際にも用いられる、道路に面した土地の評価額を何というでしょう？,路線価(ろせんか)
2014,ノーマル,紀元前53年にパルティア遠征の途中で戦死した、カエサル、ポンペイウスとともに第1回三頭政治を行った古代ローマの政治家は誰でしょう？,クラッスス
2014,ノーマル,ワールド・ベースボール・クラシックの2次ラウンドで採用されている、2回負けると敗退となるトーナメントの方式を英語で何というでしょう？,ダブルエリミネーション方式(だぶるえりみねーしょんほうしき)
2014,ノーマル,一見異なるように見えても/実は同じ類の人間であることを、アナグマの別名を使って「同じ穴の何」というでしょう？,狢(むじな)
2014,ノーマル,読売新聞に『土曜夫人』を連載中、33歳の若さで病死した、代表作『夫婦善哉(めおとぜんざい)』で知られる小説家は誰でしょう？,織田作之助(おださくのすけ)
2014,ノーマル,日本のカンピョウの生産の9割以上を占める都道府県はどこでしょう？,栃木(とちぎ)
2014,ノーマル,都道府県知事選挙や衆議院小選挙区では300万円である、選挙に立候補する際に預けなければいけないお金のことを何というでしょう？,供託金(きょうたくきん)
2014,ノーマル,ジフテリアの血清療法を創始したドイツの細菌学者で、1901年に第1回ノーベル生理学・医学賞を受賞したのは誰でしょう？,エミール・アドルフ・フォン・ベーリング
2014,ノーマル,赤星鉄馬(あかぼし・てつま)によってブラックバスが日本で初めて放流された、箱根用水の水源となっている湖は何でしょう？,芦ノ湖(あしのみずうみ)
2014,ノーマル,今年(2014年)2月、フリーアナウンサーの荒井千里(あらい・ちさと)との結婚を発表した、お笑いコンビキャイ～ンのメンバーは誰でしょう？,天野ひろゆき(あまのひろゆき)
2014,ノーマル,日本の和歌集において、歌の作者が不明であったり、作者を明かしたくないときに記された言葉は何でしょう？,詠み人知らず(よみじんちらず)
2014,ノーマル,「Super Urban Intelligent CArd」を略して名付けられた、JR東日本が発行するIC乗車券は何でしょう？,Suica(スイカ)
2014,ノーマル,実現不可能な計画のたとえにも用いられる、『旧約聖書』の「創世記」で人類が建てようとしたとされる塔の名前は何でしょう？,バベルの塔(ばべるのとう)
2014,ノーマル,これまでに亀山薫、神戸尊、甲斐亨を相棒としてきた、水谷豊演じるドラマ『相棒』の主人公は誰でしょう？,杉下右京(すぎしたうきょう)
2014,ノーマル,山頂に「すばる望遠鏡」などの天体望遠鏡が設置されている、アメリカ・ハワイ島の山は何でしょう？,マウナ・ケア
2014,ノーマル,昨年(2013年)10月12日に世界同時発売された、ポケットモンスターシリーズ最新作となる2つのゲームとは「何と何」でしょう？,XとY
2014,ノーマル,発布された年から「天平十五年の格」とも呼ばれる、自分で新しく開墾した耕地の永世私有を認める奈良時代の法令は何でしょう？,墾田永年私財法(こんでんえいねんしざいほう)
2014,ノーマル,一般的には赤ちゃんが生まれてから100日目に行われる、赤ちゃんに食べ物を食べさせる儀式を何というでしょう？,お食い初め(おくいはじめ)
2014,ノーマル,論理を組み立てて議論を展開することを、「何を張る」というでしょう？,論陣(ろんじん)
2014,ノーマル,英語では「inch worm(インチワーム)」という、全身を使って長さを測るように見えることから名がついた、イモムシの一種は何でしょう？,シャクトリムシ
2014,ノーマル,元々は計測機器の精度に関する用語であった、生産経路を明確にして食品の安全性を高めるシステムを英語で何というでしょう？,トレーサビリティ
2014,ノーマル,日本の一般道路において、救急車や消防車が緊急走行する際の制限速度は時速何キロメートルでしょう？,時速80キロメートル(じそく80きろめーとる)
2014,ノーマル,国際サッカー連盟の略称はFIFAですが、欧州サッカー連盟の略称を、アルファベット4文字で何というでしょう？,UEFA(ウエファ)
2014,ノーマル,太平洋に浮かぶギルバート諸島やフェニックス諸島/などが領土に含まれる、首都をタラワに置く国はどこでしょう？,キリバス共和国(キリバス)
2014,ノーマル,和名をムラサキウマゴヤシという、マメ科の多年性植物といえば何でしょう？,アルファルファ
2014,ノーマル,経済学の用語で、完全競争市場において、需要と供給がつりあったときの価格を何価格というでしょう？,均衡価格(きんこうかかく)
2014,ノーマル,別名を「第3インターナショナル」という、1919年にレーニンがモスクワで組織した労働者・共産主義者の国際組織は何でしょう？,コミンテルン
2014,ノーマル,カレーやスープなどを取り分けるときに用いる、金属でできた杓子のことを英語で何というでしょう？,レードル
2014,ノーマル,管の長さが1.2メートルにもなる細長い形をしたトランペットのことを、これが用いられたヴェルディ作曲のオペラの名前から何というでしょう？,アイーダ・トランペット
2014,ノーマル,硫黄酸化物や窒素酸化物などが水に吸収されて生じる、pH5.6以下の雨のことを一般に何というでしょう？,酸性雨(さんせいう)
2014,ノーマル,青年将校ヴロンスキーと激しい恋に落ちる女性を主人公とする、トルストイの小説は何でしょう？,『アンナ・カレーニナ』
2014,ノーマル,オリンピックのスピードスケート個人種目において、1度に滑る選手の数は通常何人でしょう？,2人(2にん)
2014,ノーマル,石油輸出国機構や国際原子力機関の本部が置かれているオーストリアの首都はどこでしょう？,ウィーン
2014,ノーマル,販売中止や値上げなどが起こる前に、安いうちに買っておこうという客が増えて一時的に増加する需要のことを「何需要」というでしょう？,駆け込み需要(かけこみじゅよう)
2014,ノーマル,「福音」という意味がある、キリスト教を信仰するアフリカ系アメリカ人が生み出した音楽のジャンルは何でしょう？,ゴスペル
2014,ノーマル,郵政民営化に伴い、郵政公社の郵便貯金業務を引き継ぐ形で2007年に設立された銀行は何でしょう？,ゆうちょ銀行(ゆうちょぎんこう)
2014,ノーマル,水素と重水素のように、原子番号が同じで質量数の異なる関係の元素を何というでしょう？,同位体(どういたい)
2014,ノーマル,下鴨神社を経て上賀茂神社へ向かう大行列で知られる、5月15日に行われる京都三大祭のひとつは何でしょう？,葵祭(あおいまつり)
2014,ノーマル,下の名前は聖大(しょうた)という、昨年(2013年)、初土俵から3場所での入幕を果たした追手風(おいてかぜ)部屋の力士は誰でしょう？,遠藤(えんどう)
2014,ノーマル,"人口約16,000人のヌークが最大都市である、デンマークが領有する世界最大の島は何でしょう？",グリーンランド
2014,ノーマル,本名をノーマ・ジーン・ベイカーというアメリカの女優で、主な出演作に映画『七年目の浮気』や『お熱いのがお好き』があるのは誰でしょう？,マリリン・モンロー
2014,ノーマル,江戸時代、街道の宿場に設けられた、大名が泊まった旅館のことを何というでしょう？,本陣(ほんじん)
2014,ノーマル,代表作に『ペール・ギュント』『人形の家』などがあり、「近代演劇の祖」と呼ばれるノルウェーの劇作家は誰でしょう？,ヘンリック・イプセン
2014,ノーマル,2026年に完成を予定している、スペイン・バルセロナに建設中の、アントニオ・ガウディが設計した教会は何でしょう？,サグラダ・ファミリア
2014,ノーマル,毎年新年を祝うために行われる「皇居一般参賀」は、何月何日に行われることになっているでしょう？,1月2日(1がつ2)
2014,ノーマル,日本で3番目に長い川でもある、大雪山系を水源とし、日本海に流れこむ北海道の川は何でしょう？,石狩川(いしかりがわ)
2014,ノーマル,英文法で、Iは主格、myは所有格ですが、meは何格でしょう？,目的格(もくてきかく)
2014,ノーマル,桃井かおり、武田鉄矢、高倉健らが出演し、第1回日本アカデミー賞で最優秀作品賞に輝いた山田洋次監督の映画は何でしょう？,『幸福(しあわせ)の黄色いハンカチ』(しあわせのきいろいハンカチ)
2014,ノーマル,揚浜式、入浜式、流下式(りゅうかしき)などの種類がある、かつて日本で塩を作っていた場所のことを何というでしょう？,塩田(しおだ)
